{'TIMESTAMP': 'null', 'LEVEL': 'null', 'MODULE': 'null', 'MESSAGE': 'null', 'CALLER': 'null'}
{'TIMESTAMP': '2024-04-15 10:11:10.330', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:25.141', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:12.967', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:25.174', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:04.663', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 3.213916434s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:25.252', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 14.877399171s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:25.252', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 1.199884719s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:07.417', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:25.278', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:10.374', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:25.321', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:04.663', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 3.214142798s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:25.378', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 15.982594978s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:25.474', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 1.486748683s', 'CALLER': 'Game2GateServiceChannel.go:226'}
