{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientPet', 'MESSAGE': ' \tClientPet:ctor Z1lUNn0QGM4UZ3m4\t', 'CALLER': '[overrideFunc]     Entities/SpaceEntities/ClientPet:144'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientPet', 'MESSAGE': ' \tClientVehicleOpComponent init\t', 'CALLER': '[v]     ...s/SpaceEntities/CommonComponent/ClientVehicleOpComponent:31'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientPet', 'MESSAGE': ' \tStarting client interact\t', 'CALLER': '[v]     ...es/SpaceEntities/CommonComponent/ClientInteractComponent:21'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientPet', 'MESSAGE': ' \tClientPet:ctor Z1GLEjRlFS6nxrrL\t', 'CALLER': '[overrideFunc]     Entities/SpaceEntities/ClientPet:144'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientPet', 'MESSAGE': ' \tClientVehicleOpComponent init\t', 'CALLER': '[v]     ...s/SpaceEntities/CommonComponent/ClientVehicleOpComponent:31'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientPet', 'MESSAGE': ' \tStarting client interact\t', 'CALLER': '[v]     ...es/SpaceEntities/CommonComponent/ClientInteractComponent:21'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientPet', 'MESSAGE': ' \tClientPet:ctor Z0_9WwimjM18BMYs\t', 'CALLER': '[overrideFunc]     Entities/SpaceEntities/ClientPet:144'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientPet', 'MESSAGE': ' \tClientVehicleOpComponent init\t', 'CALLER': '[v]     ...s/SpaceEntities/CommonComponent/ClientVehicleOpComponent:31'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientPet', 'MESSAGE': ' \tStarting client interact\t', 'CALLER': '[v]     ...es/SpaceEntities/CommonComponent/ClientInteractComponent:21'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientPet', 'MESSAGE': ' \tClientPet:ctor Z0_9YgimjM18BMYw\t', 'CALLER': '[overrideFunc]     Entities/SpaceEntities/ClientPet:144'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientPet', 'MESSAGE': ' \tClientVehicleOpComponent init\t', 'CALLER': '[v]     ...s/SpaceEntities/CommonComponent/ClientVehicleOpComponent:31'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientPet', 'MESSAGE': ' \tStarting client interact\t', 'CALLER': '[v]     ...es/SpaceEntities/CommonComponent/ClientInteractComponent:21'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientPet', 'MESSAGE': ' \tClientPet:ctor Z1a4TTP3HYK_eKSF\t', 'CALLER': '[overrideFunc]     Entities/SpaceEntities/ClientPet:144'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientPet', 'MESSAGE': ' \tClientVehicleOpComponent init\t', 'CALLER': '[v]     ...s/SpaceEntities/CommonComponent/ClientVehicleOpComponent:31'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientPet', 'MESSAGE': ' \tStarting client interact\t', 'CALLER': '[v]     ...es/SpaceEntities/CommonComponent/ClientInteractComponent:21'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': '2024-12-12 10:06:40.815619', 'MESSAGE': ' \t\t\t\t', 'CALLER': 'info'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'LoginAgent', 'MESSAGE': ' \t32906 bindGlobalMsGate micro-service clientGate success\t', 'CALLER': '[]     Entities/LoginAgent:336'}
